x,y,z,static_feasible,dynamic_feasible,static_index,dynamic_index,difference_index,worst_residual
-5.5,-5.5,2.5,0,0,0.0,0.0,0.0,286.42259994707734
-5.0,-5.5,2.5,0,0,0.0,0.0,0.0,255.5868523141701
-4.5,-5.5,2.5,0,0,0.0,0.0,0.0,233.80882553118553
-4.0,-5.5,2.5,0,0,0.0,0.0,0.0,222.927745119162
-3.5,-5.5,2.5,0,0,0.0,0.0,0.0,221.8478439658982
-3.0,-5.5,2.5,0,0,0.0,0.0,0.0,221.65651144292747
-2.5,-5.5,2.5,0,0,0.0,0.0,0.0,221.41034783067516
-2.0,-5.5,2.5,0,0,0.0,0.0,0.0,221.0958121269671
-1.5,-5.5,2.5,0,0,0.0,0.0,0.0,220.8396140412561
-1.0,-5.5,2.5,0,0,0.0,0.0,0.0,220.77015657874549
-0.5,-5.5,2.5,0,0,0.0,0.0,0.0,220.73536135697137
0.0,-5.5,2.5,0,0,0.0,0.0,0.0,220.72554364812513
0.5,-5.5,2.5,0,0,0.0,0.0,0.0,220.73536135697137
1.0,-5.5,2.5,0,0,0.0,0.0,0.0,220.77015657872658
1.5,-5.5,2.5,0,0,0.0,0.0,0.0,220.8396140412561
2.0,-5.5,2.5,0,0,0.0,0.0,0.0,221.0958121269671
2.5,-5.5,2.5,0,0,0.0,0.0,0.0,221.4103478306751
3.0,-5.5,2.5,0,0,0.0,0.0,0.0,221.65651144292747
3.5,-5.5,2.5,0,0,0.0,0.0,0.0,221.8478439658982
4.0,-5.5,2.5,0,0,0.0,0.0,0.0,222.9277451191621
4.5,-5.5,2.5,0,0,0.0,0.0,0.0,233.80882553118556
5.0,-5.5,2.5,0,0,0.0,0.0,0.0,255.58685231417007
5.5,-5.5,2.5,0,0,0.0,0.0,0.0,286.42259994707734
-5.5,-5.0,2.5,0,0,0.0,0.0,0.0,255.58685231417013
-5.0,-5.0,2.5,0,0,0.0,0.0,0.0,217.45620215116713
-4.5,-5.0,2.5,0,0,0.0,0.0,0.0,188.87853375756558
-4.0,-5.0,2.5,0,0,0.0,0.0,0.0,175.46055011173448
